1	Boruto: Naruto Next Generations
2	One Piece
3	My Hero Academia
4	Boruto: Naruto Next Generations
5	Dragon Ball Super
6	Jujutsu Kaisen
7	Black Clover
8	Dragon Ball Super
9	Monster #8
10	Dr. STONE
11	Mashle: Magic and Muscles
12	SPY x FAMILY
13	My Hero Academia
14	ONE PIECE
15	SAKAMOTO DAYS
16	Excuse me dentist, it's touching me!
17	Don't Blush, Sekime-san!
18	Black Clover
19	Naruto
20	Hokkaido Gals Are Super Adorable!
21	Jujutsu Kaisen
22	Demon Slayer: Kimetsu no Yaiba
23	Chainsaw Man
24	WITCH WATCH
25	Ayakashi Triangle
26	The Elusive Samurai
27	One Piece re-edition
28	Mission: Yozakura Family
29	8Kaijuu
30	UNDEAD UNLUCK
31	Phantom Seer
32	Dr.Stone
33	i tell c
34	Seraph of the End: Vampire Reign
35	'Tis Time for "Torture," Princess
36	Bleach
37	Tokyo Ghoul
38	World Trigger
39	Build King
40	JoJo's Bizarre Adventure: Part 3--Stardust Crusaders
